feature,mean_abs_shap,mean_shap,rank,impact_direction
cellphone_access,0.42573562,-0.14141059,1,↓ Decreases banking
country_Tanzania,0.3777554,-0.14463927,2,↓ Decreases banking
inclusion_score,0.31212196,-0.19110243,3,↓ Decreases banking
age_x_education,0.30618498,-0.14106575,4,↓ Decreases banking
job_type_te,0.24403976,-0.0810203,5,↓ Decreases banking
edu_x_mobile,0.23665902,-0.08524275,6,↓ Decreases banking
gender_of_respondent,0.23233825,-0.021258732,7,↓ Decreases banking
edu_x_employment,0.193831,-0.06532354,8,↓ Decreases banking
age_of_respondent,0.17640547,-0.09323593,9,↓ Decreases banking
country_Uganda,0.1549007,-0.02622333,10,↓ Decreases banking
location_type,0.12913191,-0.0049162856,11,↓ Decreases banking
country_Rwanda,0.12578356,-0.00060559186,12,↓ Decreases banking
education_level_te,0.07603297,-0.039869256,13,↓ Decreases banking
relationship_with_head_te,0.07438422,-0.038089283,14,↓ Decreases banking
relationship_rank,0.07172986,0.012498223,15,↑ Increases banking
is_household_head,0.047941547,0.0014421988,16,↑ Increases banking
mobile_x_urban,0.045496896,-0.009300805,17,↓ Decreases banking
marital_status_te,0.042955328,-0.018301107,18,↓ Decreases banking
household_size,0.04051246,-0.0077831727,19,↓ Decreases banking
age_group,0.036875736,-0.0162697,20,↓ Decreases banking
age_squared,0.031010475,-0.012362543,21,↓ Decreases banking
employment_rank,0.025818141,-0.0009351171,22,↓ Decreases banking
marital_rank,0.023579882,-0.0038670397,23,↓ Decreases banking
is_married,0.018548576,-0.004119008,24,↓ Decreases banking
education_rank,0.008705403,0.0035405988,25,↑ Increases banking
household_size_log,0.0072993785,-0.0015561132,26,↓ Decreases banking
married_x_head,0.0061994935,-0.0033877592,27,↓ Decreases banking
head_x_formal,0.0041253283,-0.0017981073,28,↓ Decreases banking
is_dependent,0.0025864972,-2.0458294e-06,29,↓ Decreases banking
formal_x_urban,0.0017927745,1.3163934e-06,30,↑ Increases banking
is_formal_employed,0.00021399836,-6.232812e-05,31,↓ Decreases banking
